ETKINLIK_ADI,ICERIK_ACIKLAMA
Karya Kitap Özetleri - İK,"Kitap, eğitimin etkisini değerlendirmede kullanılabilecek dört kriteri ve eğitime katılanların motivasyonunun nasıl canlı tutulabileceğini ele alıyor."
Karya Kitap Özetleri - İK,"Bu kitap, bir satış sorumlusu işe alırken dikkat edilmesi gereken noktalardan ve bu noktaları kendi organizasyonunuzun ihtiyaçları çerçevesinde değerlendirmenin öneminden bahsediyor."
Karya Kitap Özetleri - İK,"İki bölümden oluşan bu kitapta, duygusal zeka yetkinlikleri ve bu yetkinlikleri ortaya çıkartmak için sorulabilecek sorular listesini bulacaksınız."
Karya Kitap Özetleri - İK,"İki bölümden oluşan bu kitapta, duygusal zeka yetkinlikleri ve bu yetkinlikleri ortaya çıkartmak için sorulabilecek sorular listesini bulacaksınız."
Karya Kitap Özetleri - İK,"İnsan kaynaklarının şirket performansı üzerindeki etkisini ölçmedeki zorluk, yöneticilerin insan kaynaklarına şüpheyle yaklaşmalarına sebep olmaktadır. Bu kitap, stratejik önem taşıyan yetkinlik odaklı insan kaynakları unsurlarını ölçmenin ve sonuçları pe"
Karya Kitap Özetleri - İK,"İK Yetkinlikleri, organizasyonlar için önem taşıyan 10 yeteneği ve insan kaynakları profesyonellerinden bu yeteneklere uygun olarak beklenen davranışları içermektedir."
Karya Kitap Özetleri - İK,Günümüzde insan kaynakları iş verimliliğini ve işten alınan tatmini artırmaktan sorumludur. Bu sorumluluklar başarıyla uygulandığı takdirde şirketin kazancı üzerindeki olumlu etkisinin nasıl ölçülebileceğini bu kitapta bulacaksınız.
Karya Kitap Özetleri - İK,"İnsan Kaynaklarını Yeniden Keşfetmek kitabının ilk bölümü, değişen iş dünyasında insan kaynakları profesyonellerinden beklenen genel yetkinlikler ve bu yetkinlikleri geliştirmenin yollarını ele alıyor."
Karya Kitap Özetleri - İK,"Kitabın ikinci bölümü, değişen iş dünyasında insan kaynakları profesyonellerinden beklenen teknik yetkinlikler ve bu yetkinlikleri geliştirmenin yollarını ele alıyor."
Karya Kitap Özetleri - İK,"Kitabın üçüncü bölümünde, insan kaynakları için bir değişim süreci oluştururken dikkate alınması gereken noktaları bulacaksınız."
Karya Kitap Özetleri - İK,"Bu kitap, finansal ve insani değerler arasında denge kurarak başarıya ulaşmış şirketlerin temelinde yatan insan sermayesine yatırım yaklaşımını detaylı bir şekilde açıklıyor."
Karya Kitap Özetleri - İK,"Bu kitap, çalışan bireye odaklı yeni bir kariyer geliştirme modeli ortaya koyuyor. Bireyin, patronun ve insan kaynaklarının bu modeldeki rollerini ve modelin dokuz adımını açıklıyor."
Karya Kitap Özetleri - İK,"Şirketler arası rekabet, üst düzey yönetici bulma sıkıntısı yaratmaktadır. Kendi Liderlerinizi Yetiştirin, bu problemi etkili bir şekilde çözmenin yolu olan yedekleme yönteminden bahsediyor."
Karya Kitap Özetleri - İK,"İnsan kaynakları günümüze ayak uydurmak için bir değişim geçirmektedir. Stratejik İnsan Kaynakları Lideri, değişime ayak uydurmak için kullanılmak üzere geliştirilmiş dikey ve yatay entegrasyon modellerinden söz ediyor."
Karya Kitap Özetleri - İK,"Günümüzün rekabetçi işgücü pazarında, firmalar performans hedeflerine ulaşmak için yeni ücret yönetimine başvurmaktadılar. Yeni ücret yönetimini oluşturan ödeme şekillerinin kapsamlı açıklamalarını bu kitapta bulacaksınız."
Karya Kitap Özetleri - İK,"Şirketler, 'çalışanlar en önemli varlığımızdır' felsefesini benimsediklerini söyleseler de uygulamada başarılı olamamaktadırlar. Bu kitapta, çalışanların memnuniyet ve performanslarını artırmak için geliştirilmiş olan 'Yöndeşlik, Kabiliyet, Bağlılık' modelini bulacasınız."
Karya Kitap Özetleri - İK,"Yetkinlik tabanlı işe alım yöntemlerinde, görüşmecinin hazırlıklı olması başarıyı büyük oranda etkiler. Bu kitapta, görüşmecinin yapması gereken pozisyon analizi, yetkinlik belirleme gibi hazırlıklar örneklerle anlatılmaktadır."
Karya Kitap Özetleri - İK,İçinde bulunulan dönemin sosyal ve teknolojik yapısı işe alım sürecini nasıl şekillendiriyor? Bu şekillendirme insan kaynakları profesyonellerinde ne gibi yeni yetkinlik ve beceriler gerektiriyor? Yetkinlik Tabanlı İşe Alım ve Seçme kitabının ilk bölümünde bu soruların yanıtlarını bulacaksınız.
Karya Kitap Özetleri - İK,"Yetkinlik Tabanlı İşe Alım ve Seçme kitabının ikinci bölümünde, yetkinlik nedir, nasıl ölçülür ve çağdaş yetkinlik çerçeveleri nelerdir sorularının cevaplarını bulacaksınız."
Karya Kitap Özetleri - İK,"Yetkinlik Tabanlı İşe Alım ve Seçme kitabının üçüncü bölümünde, mülakat türleri ve mülakatın verimli geçmesini sağlayacak beceriler ele alınmaktadır."
Karya Kitap Özetleri - İş Yönetimi,"Aklınız Sizden Daha Fazlasını Bilir, beyin gücünün tümünü kullanarak başarıya ulaşmanın yollarını alıştırmalarla anlatıyor."
Karya Kitap Özetleri - İş Yönetimi,"İki bölümden oluşan bu kitap, bakış açısını değiştirmenin ve olaylara farklı yaklaşmanın yeni fikirler oluşturmaktaki öneminden bahsediyor."
Karya Kitap Özetleri - İş Yönetimi,"İki bölümden oluşan bu kitap, bakış açısını değiştirmenin ve olaylara farklı yaklaşmanın yeni fikirler oluşturmaktaki öneminden söz etmektedir."
Karya Kitap Özetleri - İş Yönetimi,"Buy-In, fikirlerinizi sunarken karşılaşabilceğiniz itirazlarla başa çıkmanın yollarını örneklerle ele alıyor."
Karya Kitap Özetleri - İş Yönetimi,"Çizginin Dışındakiler, beklenenin üstünde başarı gösteren insanların bu başarılarının ardında yatan koşulları inceliyor."
Karya Kitap Özetleri - İş Yönetimi,"Bu kitap, takım çalışmasının 'zor' olarak nitelendirilmesinin temelindeki beş işlev bozukluğunu detaylarıyla anlatıyor."
Karya Kitap Özetleri - İş Yönetimi,"Ekiplerin Bilgeliği, takım çalışmasının performans ve üretim üzerindeki önemli etkisinden, takımların önündeki engellerden ve bunları aşmak için takımda ve takım liderinde bulunması gereken yetkinliklerden söz ediyor."
Karya Kitap Özetleri - İş Yönetimi,"Farklılaş Ya Da Öl, ürün seçeneklerinin fazlalığı ve rekabetin yoğunluğunun getirdiği zorlukları aşmak için farklılaşmanın öneminden bahsediyor. Farklılaşma stratejileri ve kurallarını içeriyor."
Karya Kitap Özetleri - İş Yönetimi,"Başarıya ulaşmak hata yapmamış olmakla eşdeğer değildir. Bu kitap, başarıya olan yaklaşımımızın gelecek başarılarımızı olumsuz etkileyebileceğinden bahsediyor ve dikkat edilmesi gereken 20 hatalı davranışı inceliyor."
Karya Kitap Özetleri - İş Yönetimi,Göz Açıp Kapayana Kadar bilinçaltımızın anlık kararlar ve ilk izlenimler üzerindeki etkisinden bahsediyor. Bilinçaltını pratik ve deneyimle geliştirmenin kararlarlarımızın kalitesini artırmamıza nasıl yardımcı olacağını anlatıyor.
Karya Kitap Özetleri - İş Yönetimi,"Bu kitapta, Tanıma Temelli Karar Modeli’nin tanımını ve örneklerini bulacaksınız."
Karya Kitap Özetleri - İş Yönetimi,"Güçlüler Nasıl Düşer, başarıya ulaştıktan sonra düşüşe geçen şirketlerin başarısızlıklarının sebeplerini düşüşün beş aşamalı modeli ile açıklıyor."
Karya Kitap Özetleri - İş Yönetimi,"Hayalinizi Test Edin, hayali ulaşılabilecek bir hedef olarak tanımlarken, düşebileceğiniz yanılgıları ve kaçınılması gereken durumları da örneklendiriyor. Hayalinizi gerçekleştirmek için karşınıza çıkabilecek engelleri ve kendinize sormanız gereken sorula"
Karya Kitap Özetleri - İş Yönetimi,"Günümüzde etik standartlara, insana ve müşterilere önem vermek bir şirketin ayakta kalma ve başarı gücünü belirlemektedir. Bu kitap, bu değerlere sahip olan şirketlerdeki dört temel özellikten bahsediyor."
Karya Kitap Özetleri - İş Yönetimi,Bu kitapta ‘iyi’den ‘mükemmel’e geçiş yapan ve bu düzeyde  kalmayı başaran şirketlerin bu başarılarını borçlu oldukları faktörlerin detaylı listesini bulacaksınız.
Karya Kitap Özetleri - İş Yönetimi,"Bu kitap, kadınların dünya çapında ekonomik ve sosyal alan üzerindeki etkisinin arttığı günümüzde, kadınların beklentilerini anlamanın ve bu beklentilere yönelik hizmetler yaratmanın öneminden bahsediyor."
Karya Kitap Özetleri - İş Yönetimi,"Mavi Okyanus Stratejisi, yüksek kar ve büyüme fırsatı sunan pazarlar yaratmada stratejinin öneminden bahsediyor. Böyle bir stratejiyi oluşturmak için gereken altı prensibi ele alıyor."
Karya Kitap Özetleri - İş Yönetimi,Ne Düşünüyorlardı? yazarın şirketlerin verdikleri hatalı kararların arkasında yatan nedenleri araştıran makalelerinden oluşuyor.
Karya Kitap Özetleri - İş Yönetimi,"Bu kitapta, organizasyonel karar ve davranışları şekillendirmek amacıyla kullanılabilecek tasarım modelini ve bu modeli oluşturan beş tasarım politikasının detaylarını bulacaksınız."
Karya Kitap Özetleri - İş Yönetimi,"İletişim çağı şirketlerin içinde bulundukları toplumla ilişkilerinin yapısını değiştirmektedir. Bu kitap, çalışana ve topluma hizmet odaklı bu yeni yapıya uyum sağlamak için geliştirilmiş iş dönüşümü modelini detaylı bir şekilde açıklıyor."
Karya Kitap Özetleri - İş Yönetimi,"Ödünç Deha, yaratıcı fikirler geliştirme sürecinin kolay ulaşılabilir ve kullanılabilir olmasını sağlama amacıyla geliştirilmiş altı aşamayı detaylarıyla açıklıyor."
Karya Kitap Özetleri - İş Yönetimi,"Bu kitap, bir işyerinin elindeki yetenekleri tutma ve değerlendirme gücünün ölçümünde kullanılabilecek oniki soruyu içeriyor. Bu soruları oluştururken elde edilen verileri ve soruların profesyonel hayatta nasıl kullanılabileceklerini ele alıyor."
Karya Kitap Özetleri - İş Yönetimi,Bir pazarlığın kazançla sonlanması için uygulanması gereken teknikler Pazarlık Teknikleri kitabında detaylı bir şekilde ele alınıyor.
Karya Kitap Özetleri - İş Yönetimi,"Profesyoneller Gibi Pazarlık Edin, pazarlıkta hazırlığın öneminden ve dikkat edilmesi gereken noktalardan bahsediyor."
Karya Kitap Özetleri - İş Yönetimi,"Sarsıcı Fikirler, büyük değişimlerin büyük fikirleri değil, güçlü bir kurallar dizisini gerektirdiği savından yola çıkarak, yazar Herrero'nun geliştirdiği 10 yapı, 10 süreç, 10 davranış denklemini ve bu denklemi oluşturan kuralları içeriyor."
Kaynak Dergisi Makaleleri - Başarı ve Sonuç Odaklılık,"“Lütfen kelimesi beşeri ilişkilerin eşsiz anahtarıdır.” Halkla ilişkiler ne “el çabukluğu ne marifetle” meydana gelen bir alicengiz oyunu, ne de büyücülüktür. Yöneticilik, satış, pazarlama, reklamcılık veya finansal konu­larda bilginizi geliştirirken tüm   davranışlarınızı belirlemenize yardımcı olan halkla ilişkiler gibi destekleyici bir yöntemi ihmal etmemelisiniz. Halkla İlişkilerin kuralları vardır ama onlar kişinin elinde yoğrulurlar ve yarışı kazanan en yetenekli olandır."
Kaynak Dergisi Makaleleri - Başarı ve Sonuç Odaklılık,"Freud mutlu ve sağlıklı yaşamın anahtarını üç kelimeyle özetlemiştir: “Lieben und arbeiten” (sevmek ve çalışmak). Çünkü bu iki duygu insanı kendi gündelik ihtiyaçlarını aşan daha anlamlı amaçlara bağlar. Çalışmak insanın toplumla ve daha önemlisi gerçek  hayatla arasındaki bağı oluşturur. İş hayatında özellikle genç çalışanlar arasında en yaygın söylemlerden biri, iş özel hayat dengesidir. Bu ifadenin arkasındaki fikrin açılmasını istediğimizde çoğunlukla, işin fazla zorlayıcı olmaması ve mutlaka iş saatleri  içinde bitmesi gerektiği anlayışı olduğunu görmekteyiz. Sadece iş saatleriyle sınırlanan ve ondan sonra “kontağın kapatıldığı” bir iş anlayışı, sahiplerine parlak bir kariyer imkânı sunmaz. Anadolu’da dile getirilen bir deyiş bu duruma ışık tutmaktadır: “Hem  karnım doysun, hem somunum tam olsun”. Ne yazık ki bu mümkün değildir. İnsanın dört farklı enerjisi vardır; bedensel, zihinsel, duygusal ve manevi. Olumlu veya olumsuz olabilen enerji, yüksek veya düşük olabilir. İnsanın yaptığı işi sevmesi ve enerjisini işine  odaklaması sevdiği işi yapmasıyla gerçekleşebilir. Başarı için verilen,“başarmak için çok çalışmak gerekir”, “yaptığın işi seveceksin” gibi klasik reçeteler anlamsızdır. İş hayatı, insanın gücünün sınırlarının nereden geçtiğini tanımasına ve gerçekleriyle  hayalleri arasındaki köprüyü kurmasına imkan verecek bir alandır. Kişi hayatta elinden gelen en iyi işi yaparsa, yaptığı işi iyi ve severek yapar. Ancak bunu uzun süre devam ettirebilmesi, yaptığı işe kazandığı paranın ötesinde anlam yüklemesiyle mümkündür.  Eğer insanın işini yaparken aldığı zevk, işinden kazandığı parayı harcarken aldığı zevkten fazlaysa yaptığı işte anlam duygusu buluyor demektir. Mutlu olmanın en önemli koşullarından biri, günün önemli bir bölümünü alan iş meşguliyetinden zevk alarak yaşamaktır."
Kaynak Dergisi Makaleleri - Başarı ve Sonuç Odaklılık,"Kişilik psikolojisinin en temel soruları, “Ben kimim? ve “Ne için varım?” sorularıdır. Bunların cevabı olan varlığı anlamlandırma bireyin anlam duygusunu tanımlar. Doğal olarak bu duyguda değerlere ve iç potansiyele bağlı bireysel farklılıklar vardır. Anlam duygusu, bireyin hayat hikayesini oluşturur ve bireye kendini ifade etme fırsatı tanır. Hayattaki rolü ve bu rolün gerçekleşme süreci bu duyguda derinleşmeyi sağlar. Anlam duygusunun varlığı yaşama enerji olarak yansır. Anlam duygusunun yaşamdaki yeri 3 aşamalı olarak tanımlanır. 1. Keşif dönemi: Varlık sebebini tanımlama 2. Bağlanma: Bu yaşamsal anlamla bağlanma 3.Akış hali: Anlam duygusu yaşatan eylemlerle bir bütün olma. Akış hali sanat, yaratıcı faaliyetler ve bilimde kendiliğinden deneyimlenir ve otomatikleşir. Otomatikleşen akış halinde dış ödül veya motivasyona gerek duyulmaz. Anlamlı bir iş ortamı yaratılması, tatmin ve motivasyonun kalitesi işte anlam duygusunu artırır. Bütün bu duygular ve eylemler çift yönlü bir döngüyle birbirini etkiler. İş psikolojisi araştırmaları çalışanın iş terki ve işine atfettiği anlam arasında negatif korelasyon olduğunu göstermiştir. Bireyin var oluşunda ki kişisel anlam duygusunu yaratamaması “anlamsızlık duygusu”nu doğurur. Bu duygu yaşamdan zevk alma ve hatta yaşama şansını sınırlar. Patolojik psikoloji, adeta anlamsızlık duygusunun yol açtığı psikolojik sorunların bir toplamıdır."
Kaynak Dergisi Makaleleri - Başarı ve Sonuç Odaklılık,"Meslek hayatım boyunca hem sanat, hem de spor alanında istisnai başarı göstermiş birçok kişiyle sohbet etmek, sorunlarını dinlemek ve yaşantılarını paylaşmak fırsatını buldum. Kendi alanlarında üstün başarı gösteren bu insanların ilişkilerinde iki özellik dikkatimi çekti: Birincisi, yaptıkları işe kendilerini yürekten adamış olmaları; ikincisi de, hangi özellikleri iyiyse, enerjilerinin ve güçlerinin yüzde 90'ını, o özelliklerini daha da güçlendirmeye odaklamaları. Barcelona'dan Galatasaray'a transferi sırasında Fatih Terim, fikrini almak için aradığı Hagi'nin eski hocasından, “İyi bir futbolcun, ancak koca bir bebeğin oldu” cevabını almıştı. “Güçlü yön”, belirli bir konuda veya işte, sürekli olarak kusursuza yakın performans demektir. Güçlü yönünün bütününü ortaya koyamayan kişi kendisini işine yürekten adayamaz. Neye odaklanırsak gerçeğimiz olur. Yanlışlara odaklanmak, insanın güçlü yönlerini hayata yansıtmak konusundaki güvenini zedeler ve performansını olumsuz yönde etkiler."
Kaynak Dergisi Makaleleri - Başarı ve Sonuç Odaklılık,"İş hayatında başarının anahtarı olan profesyonellik, zaman zaman farklı ölçütlerle değerlendirilir. Türk kültürünün içselleştirmekte hala zorluk çektiği profesyonellik anlayışı, kimi defa olumsuz yakıştırmalara hedef olmakta, hatta 'aşırı para hırsı ya da düşkünlüğü' anlamında bile kullanılmaktadır. Oysa gerek özel, gerekse iş hayatında, profesyonel tutum verimliliğin ve etkinliğin en temel özelliğidir. En geniş anlamıyla profesyonel, bir konuyu meslek olarak seçen, bu konuda derinleşen ve o alandaki bilgi ve deneyimiyle hayatını kazanan kişidir. Ancak bu tanımın da ötesinde profesyonellik, çeşitli yetkinlikleri içeren bir tutum, bir bakış açısı ve bir davranış biçimidir. Birçok yetkinlik listesinde yer alan özelliklerin temelde profesyonellikle organik bir bağı olduğu görülür."
Kaynak Dergisi Makaleleri - Başarı ve Sonuç Odaklılık,"Motivasyon son yıllarda, “kalite” ve “kişisel gelişim” gibi yerli yersiz, oburca tüketilmiş ve dolayısıyla erozyona uğramış bir kavram. Bu yüzden çağdaş işletme literatüründe daha az kullanıldığını görüyoruz. Biz de bu nedenle “başarı yönelimi” kavramını kullanmayı tercih ediyoruz. Başarı yönelimi hayatın ilk yıllarında biçimlenir. Okul çağındaki çocuklar üzerinde yapılan araştırmalar; özdenetimleri yüksek, canlı, merak duygusu gelişmiş ve arkadaşları ile iyi geçinen çocukların hayat yeterliliklerinin yüksek olduğunu ortaya koymuştur. Bu özelliklere sahip çocukların ileri yaşlarda iç motivasyonlarının da yüksek olduğu görülmektedir."
Kaynak Dergisi Makaleleri - Başarı ve Sonuç Odaklılık,"Büyük bir şirketin değerlendirme merkezi uygulamasına katılan yetenekli bir gencin raporunda çok zeki olduğu, diğerleri problemi anlamaya çalışırken, onun çoktan çözüme ulaşmış olduğu belirtiliyordu. Şaşırtıcı olan raporun son cümlesiydi: 'Problemi çözmüş olmasının hiç bir önemi yoktur.' Genç adam doğru cevaba ulaşmış, ancak diğer katılımcıları etkileyememiş, çok önemli bir başarı davranışını göstermekte yetersiz kalmıştı. İş hayatında başarılı olmak için, üniversitelerde öğretilenlerin aksine, problemi çözmek yetmez, aynı zamanda etkili iletişim kurmak, iş arkadaşlarıyla görüş birliği oluşturmak, hatalarını farkedip onlardan ders almak gibi bir dizi davranış sergilemek de gerekir. GE, IBM, Lockheed Martin, Sun Microsystems, Apple, Citibank, Hewlett-Packard gibi 60'tan fazla Fortune 500 şirketinde bir araştırma yapıldı. 5000'in üzerinde kişiyle görüşülerek yapılan çalışmada iş hayatında başarılı davranışlarını belirleyen yetkinlikler belirlendi."
Kaynak Dergisi Makaleleri - Başarı ve Sonuç Odaklılık,"Proaktif davranış konusunda kapsamlı çalışmalarıyla tanınan Crant, işyerinde proaktif davranışa ilişkin dört temel kavramdan söz eder: Proaktif kişilik, inisiyatif, sorumluluğu ele almak ve görev tanımını aşma yeterliliği. Bu dört kavram, çalışanın yaptığı işi ya da işyeri koşullarını iyileştirmek amacıyla bir hareket başlatması bağlamında birbiriyle ilintilidir. Çalışanın kendisini görev tanımının dışına çıkmaya yeterli hissetmesi, proaktivitenin en kritik boyutudur. İlk kez Parker tarafından ifade edilen bu boyut, “kişinin, işin gerektirdiği geleneksel ve teknik gerekliliklerin dışına çıkarak daha proaktif ve geniş kapsamlı bir rol üstlenme konusunda kendine duyduğu güven” olarak tanımlanır. Parker'ın araştırmasına göre, görev tanımını aşma yeterliliği, kurum içi koşullarla şekillenir. Kurumlar uygun çalışma koşullarını yerine getirebildikleri zaman, çalışanlarında proaktif davranışı da ortaya çıkarma olanağı bulurlar."
Kaynak Dergisi Makaleleri - Başarı ve Sonuç Odaklılık,"Hızlı bir değişim rüzgârına kapılmış dünyamızda son dönem gelişmeler, şirketlerin özellikle kaliteli ve doğru eleman bulma konusunda birbirleriyle rekabetini de beraberinde getirmiştir. Dolayısıyla; eleman bulmak kadar, o elemanın şirkette kalıcı olmasını  sağlamak da gerek maliyetler gerekse kalite açısından büyük önem arz etmektedir. Ann Coombs, ‘The Living Workplace’ adlı kitabında; 1998 yılına kadar çalıştığı hiçbir şirkette işin anlamlılığı gibi konulara değinilmediğini, ancak günümüzde araştırma yaptığı  şirketlerin yarısından fazlasında anlam olgusunun öneminin kavranmış olduğunu anlatmaktadır. Bir makalesinde Borkowski, örgüte bağlılık ve işle ilgili anlam duygusu konularının bir jenerasyondan diğerine taşınır nitelikte olduğunun ve 1963-1977 yılları arasında  doğmuş olan, X nesli olarak nitelenen, yönetici ve kadroların bu konulara daha fazla önem verdiklerinin altını çizmiştir. Anlamlılık duygusu, bireylerin kendilerine belirlemiş oldukları temel değerlerden oluşan vizyon ve misyonları içermektedir. Eğer, bireyin  hedeflerindeki yaptığı işin içeriği ve sonuçları ile örtüşmekte ise, birey haz duyar, yaptığı işi keyifle yapar."
Kaynak Dergisi Makaleleri - Başarı ve Sonuç Odaklılık,"İnisiyatif bir eylemi başlatmak, sürdürmek ve tamamlamaktır. İnisiyatif sahibi olmasını beklediğimiz çalışanların, çeşitli ve zorlayıcı etkinlikler içinde yer almalarını, engeller karşısında bile isteklerini ve azimlerini korumalarını, hedefe ulaşıncaya kadar vazgeçmemeleri beklenir. İnisiyatif, zorlayıcı hedefler doğrultusunda çaba göstermeye devam etmek ve işler sarpa sardığında bile kararlılığını korumaktır. Psikolog Bandura tarafından tanımlanan yeterlilik duygusu kişinin yapmaya kalkıştığı işi yapabileceğine olan inancıdır. Yüksek yeterlilik duygusuna sahip gençler kendilerine daha yüksek hedefler koyar, daha fazla çaba gösterir, zorluklar karşısında azimlidirler. Proaktif kişi, kendisini durumsal etkenlerle sınırlamayan ve dış dünyayı değiştirmeye yönelik eylemlere girişen kişidir. Yeni fırsatları kaçırmamak için sürekli çevresini tarar, inisiyatif sergiler, harekete geçer ve sonuç almadan işin peşini bırakmaz. Sanki fark yaratmayı misyon edinmiştir."
Kaynak Dergisi Makaleleri - Başarı ve Sonuç Odaklılık,"Son on yılda öne çıkan “olumlu tutum” yaygın bir söylem olarak her alanda karşımıza çıkıyor. Kuşkucuların zaman zaman “pollyannacılık” diyerek iğnelemelerine karşın, olumlu yaklaşımın ve beraberindeki iyimserliğin, gerek bireylerin gerekse kurumların hayatında  gözle görülür, somut ve hatta ölçülebilir sonuçları olduğu tartışılamaz. Olumlu tutumun bireyin mutluluğuna yaptığı katkının yanı sıra, iş hayatındaki başarıya ve kurumsal ortama katkısı aynı oranda önemlidir. Kişisel inisiyatif, karşılaşılabilecek fırsatlara  ve problemlere hazırlıklı olma ve engelleri aşabilme özelliklerini içeren, kendiliğinden ortaya çıkan davranıştır. İnisiyatif sahibi kişiler, iş kaybını daha kolay ve hızlı aşar, yeni kariyer şansları yaratır, iş ortamlarına olumlu katkıda bulunur ve hatta  inisiyatif alma, yetenekleri sürekli artırır. İnisiyatife değer veren bir iş iklimine sahip şirketlerde kârlılığın önemli ölçüde arttığı da gözlenmiştir. Hatalara olumlu yaklaşmak aynı zamanda kişinin hatalar karşısında düş kırıklığına uğramasını ve hevesinin  kırılmasını önler, olumlu duyguların ve şevkinin canlı kalmasını sağlar."
Kaynak Dergisi Makaleleri - Başarı ve Sonuç Odaklılık,"Herkesin mesleki geleceğiyle ilgili bir planı vardır. Kimi satışlarını artırmayı, daha yüksek bir gelir düzeyine ulaşmayı, kimi de iş alanını değiştirmeyi ister. Gelin görün ki, bunları gerçekleştirmek her zaman mümkün olmaz. İnsanlar neden hak ettikleri başarıya ulaşamazlar? Büyük olasılıkla, hedeflerini belirleyemedikleri için...Hayatta ne istediğini bilmek önemli bir meziyettir. Ancak hedefini açık seçik tanımlamak daha başka bir şeydir. Harekete geçebilmek için önünüzde sınırları iyi çizilmiş, somut hedefler olması gerekir. Başarmak istediğiniz hedefi açık seçik tanımlayamazsanız, zihniniz de size yaratıcı çözümler sunamayacaktır."
Kaynak Dergisi Makaleleri - Başarı ve Sonuç Odaklılık,"Herkes başarılı olmayı ister gibi gözükse de, başarı yönelimi açısından iki grup insan vardır: Başarı yönelimli olanlarla başarısızlıktan kaçınma yönelimli olanlar.<br /> İş hayatında başarının üç koşulu vardır: <br />1) Yapılan işin kişinin değerleriyle uyuşması, <br />2) Kişiliğin işe uygun olması <br />3) Çalışma ortamına uygun “iyi geçinme” becerileri.<br /> Başarıya bir de kişilik psikolojisi açısından bakmak gerekir. İnsanlar toplu halde yaşar. Başarılı olmanın ilk şartı diğer insanlarla iyi geçinmektir. Her topluluğun da bir hiyerarşisi vardır. Doğal olarak başarılı olmak isteyen, bu hiyerarşide öne geçmek ister. Çağdaş psikoloji kişiliği, insanların iyi geçinmek ve öne geçmek konusundaki çabalarının bir fonksiyonu olarak ele alır. Kişilik, insanın kim olduğu ile ilgili algısının (kimlik) ve diğer insanların onu algılayışının (itibar) bir bileşkesidir. İtibar, davranışlarımız gibi, “ne” yaptığımızla ilgili, kimlik ise, değerlerimiz gibi, “neden” öyle yaptığımızla ilgilidir."
Kaynak Dergisi Makaleleri - Başarı ve Sonuç Odaklılık,"İnisiyatif almak, yaratıcılığını harekete geçirmekten tutun da, bir problemi çözmeye, fırsatlardan yararlanmaya, müşteri hizmet anlayışında yaratıcı değişiklikler yapmaya ya da halihazırdaki iş ortamını değiştirmeye kadar çeşitli anlamlara gelebilir. İnisiyatif alan çalışan kurumda farkedilir ve öne geçer."
Kaynak Dergisi Makaleleri - Başarı ve Sonuç Odaklılık,"Hogan Assessment Systems Kurucusu Prof. Dr. Joyce Hogan ile İş yaşamında başarıile çalışanın kişilik özellikleri arasındaki bağlantıları konuştuk. Daha düne kadar, hatırı sayılır bir tanıdıktan alınan 'Hamili kart yakinimdir' ibaresini taşıyan bir kartvizit, işe kabul edilmenin en etkili yöntemi sayılmaktaydı. Bugün bu durum alaycı bir tebessümle hatırladığımız, geçerliliğini yitirmiş ve anılara karışmıştır. Günümüzde iş başvurusu yapan herkesin “olmazsa olmaz” koşulu olan psikometrik ölçümler, özellikle de kişilik testleri, işe yerleştirilecek kişinin kurumla uyumunu ve kendisinden beklenen görevde başarı gösterme olasılığını öngörmede etkili bir yöntem olarak kabul görüyor. Bu konuyu en yetkili ağızdan dinlemek istedik. İş yaşamında başarı ile çalışanın kişilik özellikleri arasındaki bağlantıları Joyce Hogan ile konuştuk."
Kaynak Dergisi Makaleleri - Başarı ve Sonuç Odaklılık,"İşimiz bizi tam olarak tanımlamasa bile mutluluğumuzun bütününde en başta gelen etkenlerden biridir. Yaptığımız işlerde her ay kazandığımız paranın dışında gerçek bir anlam yakalamak istediğimizde, nerede çalıştığımız, kurumumuza duyduğumuz bağlılık, yaptıklarımızı  değerli bulma duygumuz öne çıkar ve anlam yaratma konusunda hayati bir öneme sahip olan “asıl farkı” yaratarak işimize yansır. İşte anlam yakalamak kişinin kendi değerlerini ve önceliklerini incelemesini gerektirir. Kariyerinizde ilerledikçe değer sisteminizin  de değişeceğidir, bu nedenle bu konuyu da dikkate almanız gerekmektedir. Araştırmalar “anlam yaratmak” ile “iyi bir işe dahil olmak” arasında karşılıklı bir ilişki olduğunu göstermektedir. Ne kadar mutlu olduğunuzu işinizde yaptıklarınızla kanıtlayın. Gelişme  olanağınız var mı? İşinize daha fazla dâhil olmanın yollarını arayıp bulun. Yaşamda ilginizi çeken şeyleri tanımlayın, örneğin “insanlarla iletişim içinde olmak” diyorsanız, bu isteğinizi şimdiki rolünüzde kullanmanın yollarını düşünüp bulun. Profesyonel bir  çalışan olarak, kurumunuzda çalışanların işlerinde anlam duygusu yaratmalarında önemli bir rol oynayabilirsiniz ve karşılığında kendi değer duygunuzun önemli ölçüde artmasına destek vermiş olursunuz. Araştırmalar işte anlam yaratmanın gerçekliğini, çalışanların  bunu gönülden istediğini ve bu durumun geçerliliğini bugün de koruduğunu göstermektedir. Yeteneklerin kullanımını artırma ve işgücüne dâhil olma konularının gelecek on yıl içerisinde de tartışılan konuların başında yer alması beklenmektedir."
